h	d100 Starter Oddities Description
21	**Beserker Gland**: When you take Ability Score Loss or suffer serious pain you fly into a rage. If your next attack is a melee attack, it is *Enhanced*. If it is ranged, it is *Impaired*. Once the attack is out of your system you return to normal.
22	**Imprint Capsule**: Any being that enters this booth is bombarded with smoke and emerges spluttering. They imprint upon the next being they see and dedicate their life to them until they next sleep.
23	**Terrormite**: A big termite, pinned down in its box. Once released it burrows into the nearest living creature it can find, causing intense pain. Within a minute the victim develops a tough outer skin (Armour 1) and find they can spit acid (d6 ongoing). This lasts for an hour until the victim coughs out d6 Terrormite larva and returns to normal. If two terrormites enter the same host they fight inside them, causing d8 STR loss.
24	**Chameleomole**: A tiny mammal that can phase into any material without disturbing it. It can talk, but is extremely shy and will only answer a question with one word before phasing into hiding in their master\'s body.
25	**Earth-Angel**: A tiny clay figurine that can be smashed to cause an earthquake. Those nearby are thrown to the ground and all structures take d12 damage.
26	**Wild Tongue**: You can talk with any living thing, but what they tell you might not make sense.
27	**Spite Wisp**: A glowing orb that materialises near to you whenever anybody gets badly hurt (STR Damage). If you will it, it will begin to attack the victim with sparks (d6), disappearing when they are subdued or killed.
28	**Threatening Probe**: Has no function, but glows and vibrates in a way that suggests it could be used for distributing extreme pain.
29	**Caged Biter**: A monkey-like creature (STR 5, 5hp, d6 bite) in a cage. Once released it attacks its designated target and fights to the death, ignoring any further commands. If it wins, it eats some of its opponent before slinking back to its cage. It won\'t follow any other commands.
30	**Saucer Scar**: You don\'t remember getting it. In the presence of artificial light it tingles, and you can will yourself to levitate slowly towards the light.
31	**Maiming Claw**: A grappling hook that latches onto living tissue with an unbreakable grip. You know the trick for getting it to release.
32	**Trick Coin**: Looks like a Silver Shilling but has three secret functions that you know how to use. First is a weak light. Second is a powerful magnet. Third is a d10 bomb (destroying the coin).
33	**Universal Pin**: A hair-pin that sticks into any surface, no matter the material. Causes no pain if stuck into flesh.
34	**Curse Doll**: Anything significant that happens to the doll happens to you, beneficial or harmful.
35	**Snake-Cat**: A cloth toy with a snake body and cat head. Once per day you can throw it on the ground and have it transform into a real snake (STR 3, 4hp, d6 Bite, d6 STR loss on Critical Damage) or cat (STR 3, DEX 16, 4hp, d4 Claws) that loosely follows your commands. It returns to its cloth form after a few minutes.
36	**Second-Chance Skull**: If you die, your body disintegrates to ash and immediately regenerates from this skull in perfect health.
37	**Jerk Sprite**: A statuette of dried meat. Whatever eats this will act like an utter jerk for the next hour, even to their most loved ones.
38	**Powder Sack**: Any powder stored in this small pouch becomes essentially unlimited. Turning the pouch inside out empties the current contents, with no unusual effect. Currently contains salt.
39	**Star-Beacon**: A heavy tyre-sized metal beacon (requires two people to carry) with a matching pin-badge. Pushing the badge teleports the wearer back to the beacon.
40	**Dire Barnacle**: Three vicious little mollusks (1hp, Armour 1) that explode in a 2m blast (d8) when killed.
41	**Ambrosia Seed**: A bag of golden seed that any animal can\'t resist eating if thrown. If they\'re smart they\'ll realise you have the bag when the thrown seed runs out.
42	**Haunted Egg**: A stone egg that can be used as a crude weapon (d6). The last thing killed by the egg will inhabit it as a ghostly voice, and will answer questions to the best of its knowledge. It doesn\'t have any more knowledge than it did in life, but anyone can understand its words.
43	**Tiny Shield Generator**: A rat-sized collar that will creates a force-field (Armour 3) around the wearer. Only works on subjects of chicken-size or smaller.
44	**Echojector**: Hears up to ten seconds of sound and repeats it at vastly increased volume on command.
45	**Doom Siren**: A tiny clockwork box lets out a booming drone when a being within 10ft dies.
46	**Stick Eye**: A glass eye on a stick that the holder can see through.
47	**Champion\'s Mark**: When you defeat a willing opponent unarmed (even as part of a group) you glow with health and gain the immediate effects of a Short Rest. If anyone defeats you unarmed the Mark transfers to them.
48	**Hell Spice**: Extremely concentrated powdered hot spice. Enough to sabotage three meals.
49	**Bear Jelly**: A pot of jelly that reeks of animal musk. Will scare off small creatures, but attract any large mammals.
50	**Sub-Flare**: A one shot pistol that launches a burning flare immediately skywards, burning through any substance in the way and leading a fist-width hole.
51	**Orphan\'s Ruin**: 6oz of Milky drink. 1oz pacifies any unease, 2oz causes a deep sleep, 3oz eternal sleep.
52	**Steel Goggles**: When switched on, objects that have a current owner glow faintly green, objects that have been taken from their rightful owner glow red. Objects that have no current claimant look normal.
53	**Parallel Shifter**: A metal tin big enough to fit a pistol inside. If an object is placed inside and shaken, the object is replaced with a parallel version of itself from another reality. Roll d6. 1: Only ash remains. 2-5: The change is cosmetic but significant. 6: The new version is better than the old.
54	**Brain Jar**: A jar of brine and wires that can sustain the brain of a freshly killed creature, allowing it to psychically project its thoughts. The brain must be fed blood or else it dies.
55	**Stinkincense**: A pot of wax with a wick. When burned, sewage slowly drips over from the top of the jar. If left for an hour it will burn out, but produce enough sewage to fill a large room.
56	**Cosmic Ranker**: A grey wand that, when waved between two objects, pulls to the object that it deems best by the standards requested. In case of a tie it flies from the wearer\'s hand.
57	**Rail-Lens**: Any missile fired through this lens (breaking it) accelerates to impossible speeds, causing d20 damage and tearing through structures.
58	**Anti-matter Key**: When placed in a keyhole, utterly annihilates the door. 1-in-6 chance of annihilating itself too.
59	**Nightmare Flower**: Anyone sleeping in the same room as this flower suffers horrible nightmares. When they wake, they bring back the worst thing from their nightmare with them.
60	**Sanctuary Idol**: Burning a candle in front of the idol causes smoke to billow out and reinforce all doors, open passageways, and windows into the room. Nothing can enter through these as long as the candle burns. Has no effect outdoors.
61	**Banker Pig**: A clay pig with a coin slot. A penny causes an oinking sound. A silver shilling causes it to transform into a normal pig for an hour. A gold gilder causes it to transform into a vicious boar (7hp, d6 gore) for an hour. If it dies in pig form, it never transforms back.
62	**Evacuation Syrup**: Removes any ill effects the drinker is suffering from, including anything short of death, but flushes the body clean in every sense. One dose.
63	**Alien Bone**: Looks like a wishbone, but if broken sends out a psychic wave of pain to all in 10m (d20 WIL loss).
64	**Savage Vine Berries**: If eaten, rapidly growing vines erupt from the mouth (d6 STR loss) and grow into a sprawling vine filling a large room and clinging to whatever surface it can. 2 berries.
65	**Ghost Story**: If you tell this story to somebody as they fall asleep, their ghostly skeleton leaves their body for the night, returning when they wake. The skeleton acts as the owner wishes and is completely immaterial.
66	**Companion Ball**: A hollow ball that rolls behind you and never stops trying to follow you. Can pop open to store a head-sized object or smaller.
67	**Green Soil**: Small pot of soil. Any plant that is planted into it will grow a whole season\'s worth of growth in one minute, but otherwise grows normally.
68	**Pyrophone**: A klaxon-like horn that repels fire away from it.
69	**Stem-Stone**: Pebble that transforms into whatever inorganic substance it last touched. Currently the leather of your pouch.
70	**Maggot Prince**: A tiny maggot with a gold band marking. Flies and maggots will vacate the area to make room for it, and anything that eats bugs will be strongly drawn to try and eat it.
71	**Ovality Bomb**: Explodes in a cloud of beige dust, forming a 2m high egg around the blast area. Nothing inside can break out, but the outside is easily broken. The egg keeps its contents alive in a happy stasis until released.
72	**Worldly Tortoise**: A small tortoise (STR 2, DEX 1, WIL 6, 1hp, Armour 1) that knows the way to anywhere you ask, but gets there very slowly.
73	**Fantastic Machine**: Huge machine stored in an old factory. Has a slot where paper instructions can be inserted, with a coin slot for a 10s payment. After an hour of clinking it produces a rough approximation of the requested item, but anything fancy is poorly made.
74	**Unstoppable Rod**: When thrown, nothing stops the movement of this rod, including gravity. Eventually flies off into space regardless of its trajectory.
75	**Slam Bomb**: Causes all doors and windows in a large-room sized blast to slam open or shut, even if secured.
76	**Air-Sac**: A membranous sac on your chest that you can inflate to 2m in diameter. Your lungs can draw on the air within, but remember the inflated sac floats.
77	**Gore Candle**: Any injuries that happen in the presence of this candle\'s light are extra painful, messy, and harmful, doubling any STR loss caused.
78	**Skeletal Dove**: Carefully assembled. Can be crushed to unleash a cloud of confused doves.
79	**Slaughter Brand**: A three-pointed mark on your hand. When you kill a worthy opponent, one point turns darker. When all three points turn dark, your arm grows into an unnaturally strong, chitinous claw (d10 damage) for the next hour. When your arm returns, the brand resets.
80	**Noble Tumor**: This visible growth absorbs the next harmful effect to enter your body, whether poison, parasite, curse, or otherwise, before dropping off.
81	**Blank Contract**: A contract with blank parts. Can be modified into any sort of deal you wish. The first party to break the contract is blasted with a beam from above (d12, ignore armour) and the contract dissolves into shredded parchment.
82	**Utility Orb**: Any tool that could plausibly exist in a mundane pocket-knife has a 50% chance of existing in this orb. Keep a track of what tools it does and doesn\'t have.
83	**Cocoon Wax**: Anything covered in this wax is sealed off in a cocoon. After 24 hours it bursts free as a winged, hostile version of its previous self. One use.
84	**Plague Wart**: A carefully extracted wart sealed in a jar. Anyone that touches it contracts a disgusting plague, losing d6 STR each hour. Any touch immediately spreads the plague. There is no cure that you know of.
85	**Ego-Mirror**: A pocket mirror that functions as normal, but doesn\'t reflect anyone looking in.
86	**Fetch-Pearl**: A silvery pearl that can attach to any item submerged in water. On a mental command from you, it floats to the surface, carrying whatever it is attached to. If attached to the ground, it just rips up a large chunk of it to fetch.
87	**Tiny Phantasm**: A floating mass of swirling colours the size of a penny. It follows your every command and leaves a multicolour trail across any surface it touches. Cannot physically interact in any other way.
88	**Prosthetic Tail**: A metal tail that straps to your body and functions as a third arm.
89	**Devil Salts**: Awakens any creature from sleep or unconsciousness, but they flail and scream in terror for a few seconds first. They have no memory of this afterwards.
90	**Phase Tonic**: A dose sends you out of sync with reality for around ten seconds. You can act as normal, but when the tonic wears off, time snaps back to the point before you drank and all actions are undone. The dose is still consumed. 2 doses.
91	**Reconstruction Silk**: A handkerchief that repairs any object it is draped over for an hour. The object must be small enough to be covered.
92	**Sabotage Disc**: A disc of metal that can be slipped into even the most tightly cased machine, causing it to immediately malfunction in the most serious way possible.
93	**Preserved Soul**: A tiny shriveled humanoid that can be thrown into a fire to release a flailing alien apparition (d8 eye-beams, immaterial, lashes out for 1d6 turns before vanishing in a flash of light).
94	**Animation Oil**: When rubbed onto an object, it springs to life for the next hour as your loyal servant. One dose.
95	**Pain Wire**: Causes instant agony when touched by bare skin (you have gloves). 20m in length when uncoiled.
96	**Hunger Clamp**: A small clamp that can be clipped onto loose skin, causing the victim to have a ceaseless hunger, which they\'ll do anything to sate. They suffer no ill effect from over-eating, but will not starve any faster than normal.
97	**Proxy Chain**: When two or more beings are in contact with the chain, any harmful effects that affect one of them affect all instead.
98	**Tin Buddy**: A can that springs out to a 2ft tall automaton (2hp, Armour 1). He is loud, annoying, and doesn\'t do a good job of whatever you request. Has no real means of fighting.
99	**Broken Basilisk Symbol**: Two pieces of an astral symbol set in lead. Anyone that pushes the pieces together while looking at it loses d20 WIL.
100	**Gallon-Syringe**: A tiny syringe that can draw up to a bath-sized amount of liquid.
