h	**Occupation** (What the hell is that?): Starting Weapon, Something extra
155	**Scrimshaw**: Engraving awl (dagger), Ivory, 1 uncarved piece (20sp)
156	**Scullion**: Stick, Raggedy clothing
157	**Seamstress**: Long needle (dagger), Unspun wool
158	**Servant**: Dagger, Stolen locket (10sp)
159	**Sewerhand**: Staff, Stanky clothes
160	**Shaman**: Mace, Herbs, 1 pouch
161	**Shepherd**: Crook (staff), Sheep
162	**Shingler**: Mallet, Roof tiles
163	**Shipwright**: Hammer, Pocketful of nails
164	**Shoe shiner**: Shinin' rag (garotte), Shoe polish
165	**Shrubber**: Shears, A herring
166	**Sinecure**: Rapier, Wax seal stamp
167	**Slave**: Club, Funny looking rock
168	**Slaver**: Whip, Map of foreign lands
169	**Smuggler**: Sling, Waterproof sack
170	**Soldier**: Spear, Shield
171	**Spice merchant**: Club, Spice, 1 bag
172	**Spy**: Dagger in sleeve sheath, Specialist's tools
173	**Squire**: Longsword, Steel helmet
174	**Stevedore**: Knife, Empty crate
175	**Stonecutter**: Sledgehammer, Fossil
176	**Stoner**: Large bong, Weed-analog, 1 handful
177	**Street magician**: Staff, White rabbit
178	**Street sweeper**: Broom (staff), Trash, 1 bag
179	**Tailor**: Long needle (dagger), Fine clothes
180	**Taxidermist**: Long needle (dagger), Stuffed cat
181	**Thatcher**: Shearing hook (axe), Legget
182	**Thief**: Dagger, 5 caltrops
183	**Thug**: Club, Necklace of teeth
184	**Tinker**: Hammer, Tin snips
185	**Torturer**: Jagged knife, Specialist's tools
186	**Trader**: Shortsword, 20 cp
187	**Trapper**: Sling, Badger pelt
188	**Urchin**: Big stick, Alms bowl
189	**Vaginarius** (Scabbard-Maker): Shortsword, Ornate scabbard
190	**Vagrant**: Hobbling cane (staff), Alms bowl
191	**Veterinarian**: Long needle (dagger), Painkillers
192	**Village idiot**: Sausage, Urine, 1 pint
193	**Vintner**: Staff, Fine wine, 1 bottle
194	**Wainwright**: Club, Pushcart
195	**Water carrier**: Staff, Two wooden buckets
196	**Weaponsmith**: Longsword, Oils and whetstones
197	**Weaver**: Dagger, Fine suit of clothes
198	**Window tapper**: Staff, 10' pole
199	**Woodcutter**: Handaxe, Wood, 1 bundle
200	**Zealot**: Gnarled staff, Soapbox
