"h"	"SETTLEMENT"	"GOVERNANCE"	"POPULACE"	"TOWN/CITY NAME PREFIX"	"TOWN/CITY NAME SUFFIX"	"DISTINCTIVE FEATURES"	"CITY-WIDE EVENTS"	"LOCATIONS"	"LOCATION FEATURES"	"TOWN/CITY FOLK"	"NPC TRAITS"	"LOCAL EVENTS"
21				"Night"	"-march"	"Mutated populace"	"Revolt or revolution"	"Carpenter's shop"	"Locked/secure"	"Merchant"	"Hurt/sick"	"Magical ritual"
22				"North"	"-perch"	"Pervasive magitech"	"Rife vandalism"	"Cartographer's shop"	"Messy/filthy"	"Noble"	"Ignorant/foolish"	"Military brutality"
23				"Onyx"	"-point"	"Potent magic source"	"Riots and looting"	"Castle/palace"	"Modern/stylish"	"Pickpocket"	"Jealous/intolerant"	"Obnoxious noble"
24				"River"	"-port"	"Powerful guilds"	"Ritual sacrifices"	"Church/temple"	"Modest/simple"	"Priest"	"Kind/friendly"	"Pickpocket/theft"
25				"Sigil"	"-reach"	"Rigid social classes"	"Roving press gangs"	"Clerk's office"	"Mysterious/strange"	"Rat catcher"	"Lazy/apathetic"	"Prowling monster"
26				"Silver"	"Rock"	"Rival street gangs"	"Seasonal markets"	"Cobbler's shop"	"Obtrusive/distinct"	"Scholar"	"Lustful/lewd"	"Robbery/mugging"
27				"South"	"-seat"	"Ruled by a tyrant"	"Sporting event"	"Docks/wharf"	"Overwhelming/vast"	"Servant"	"Melancholic/sad"	"Sabotage/vandalism"
28				"Star"	"-side"	"Sorcery is outlawed"	"Spree of murders"	"Factory/workshop"	"Protected/guarded"	"Soldier or guard"	"Paranoid/fearful"	"Screaming/shouting"
29				"Storm"	"Springs"	"Thick black smog"	"Storm or tornado"	"Farrier's shop"	"Restored/renovated"	"Stonemason"	"Patient/gentle"	"Shocking news"
30				"Sun"	"-stead"	"Undead sentries"	"Street celebrations"	"Fletcher's shop"	"Scorched/charred"	"Street urchin"	"Proud/arrogant"	"Spying or prying"
31				"Talon"	"-town"	"Underworld guilds"	"Sweltering weather"	"Gallows"	"Seedy/decrepit"	"Tavern worker"	"Shy/demure"	"Stray dog or cat"
32				"Vice"	"-vale"	"Unique architecture"	"Under siege"	"General store"	"Shabby/pitiful"	"Tax collector"	"Slow/clumsy"	"Street entertainer"
33				"Wilt"	"Valley"	"Vicious politics"	"Vermin infestation"	"Granary/warehouse"	"Spartan/Utilitarian"	"Vagabond"	"Strong/brawny"	"Structural collapse"
34				"Winter"	"-ville"	"Vile stench"	"Volcanic eruption"	"Guardhouse"	"Stocked/packed"	"Weaver"	"Vain/pompous"	"Subtle spellcaster"
35				"Wraith"	"-ward"	"Wealth disparity"	"Widespread plague"	"Guildhall"	"Tidy/clean"	"Wheelwright"	"Weak/frail"	"Trapped civilians"
36				"Wyrm"	"-wood"	"Xenophobic dogma"	"Witch-hunt"	"Herbalist's shop"	"Warm/hot"	"Wizard or witch"	"Weird/eccentric"	"Troublesome youth"
37								"Jeweler's shop"				
38								"Library"				
39								"Locksmith's shop"				
40								"Manor house"				
41								"Market square"				
42								"Park/garden"				
43								"Potter's shop"				
44								"Sewers/catacombs"				
45								"Silversmith's shop"				
46								"Smithy/forge"				
47								"Stable"				
48								"Stocks/pillory"				
49								"Tailor's shop"				
50								"Tavern/inn"				
51								"Theater/stadium"				
52								"Town hall"				
