h	D100 Random Items
57	A yellow green scarf knitted from goat hair. It's very warm.
58	A set of knuckle bone dice carved from Gnoll bone.
59	Six brass buttons cast to look like shields.
60	Two elven-style wrist guards for archery, both made of beautiful and supple elk skin and painted forest green.
61	A lumpy clay figure of a laughing halfling clutching their belly.
62	A bent and corroded copper ring with a small pink agate set into it.
63	A simple apron-style dress made of dark red dyed linen.
64	A carving of a songbird made out of quartz. It is big enough to fit in the hand.
65	A scrimshawed deer antler the length of a human forearm, etched with figures of lions and leucrota rearing up at each other.
66	A kite made of thin, pink dyed linen attached to lashed river reeds. There is about 200 feet of twine tied between the handle and the kite.
67	A very old gold coin, larger in diameter but thinner than modern coins. A menacing eye with lines of power emanating from it is on one side. On the other are three spruce trees with three eight-pointed stars above them.
68	A rattle made of a wolf's leg bone and a small bladder of rawhide stuffed with seashells that have been lashed together.
69	A pair of boots with specially designed soles that leave dog tracks behind. Three pages of thick paper with the middle part of the epic poem, "The Saga of the Western Dragons" written on it.
70	A ladle made of half a coconut shell lashed to a length of bamboo.
71	A small leather case that holds eight beeswax candles, all a different shade of purple. When burned, these candles produce a strong smell of clove, orange, and cinnamon.
72	A four foot long cord attached to a flat piece of flat bark. When swung hard around one's head, this odd contraption makes a very loud, hollow whistling noise.
73	A thin iron chain with small weights at each end. When laid atop an open tome, it keeps the pages open.
74	A small brown jar filled with a fine ground mixture of cinnabar and mica dust.
75	A functioning half foot-tall replica of a catapult made of wood, leather, and iron nails.
76	Three different leather eye patches, one made of green lizardman skin, one made of blue painted pig leather, and one made of wyvern hide dyed a reddish purple.
77	A protective metal cover and lock made of bronze, copper, and iron that is meant to fit around a wizard's tome to secure it from theft.
78	A traveler's salt cellar made of ebony wood secured by a brass latch.
79	A beautiful hair comb made of thin plates of bone lashed together.
80	A steel multi-tool that folds into a fork, knife, spoon, or toothpick.
81	A long red and black peaked knit hat that is over three feet long and ends in a blue pompom.
82	A small goose down pillow with a brown case.
83	A carved marble game board for the dwarven game known in common as High table. No pieces remain, however.
84	A four string gnomish lire with a sound box made of tortoise shell and a neck made of a carved piece of rosewood.
85	A small chapbook full of socialist musings on the failing policies of a local kingdom.
86	A toy composed of a carved handle with an open cup on top and a small ball attached to the handle with some twine. The goal is to try and catch the ball in the cup on the first try.
87	An intricately tooled griffon leather sword sheath embedded with cast iron eagle embellishments at the tip.
88	A monocle with 10x magnification.
89	A tied up package of chewy date candy. There's about enough for six servings.
90	Blinds and a bridle made for giant riding birds.
91	A set of carved wooden alphabet stamps in the common script.
92	A tin of loose leaf tea made from bay leaves, pine needles, and dried berries. There's about enough for eight cups of tea.
93	Seven pieces of random broken pottery, all bearing the elven name Dellianna on them somewhere.
94	A yellow wool sash dyed with a pattern of repeating green olive trees, blue dolphins, and light blue zephyrous curls of wind.
95	Fuzzy earmuffs made of warm white yeti hair.
96	A pair of brown leather fingerless gloves.
97	A full set of oracle sticks carved out of badger bones.
98	A set of gray basalt rocks that make enough sparks when they are struck together to light a fire.
99	A white rose that never withers or dies.
100	A simple marionette made of carved and painted yew wood. The puppet resembles the local trickster deity.
